	mouse_TATA	mouse_INR
Grin3b	False	True
Grina	False	True
Grip1	False	False
Grip2	False	True
Gripap1	False	False
Grk1	False	True
Grk2	False	False
Grk3	False	False
Grk4	False	False
Grk5	False	True
Grk6	False	True
Grm1	False	False
Grm2	False	False
Grm3	False	False
Grm4	False	False
Grm5	False	False
Grm6	False	False
Grm7	True	True
Grm8	False	True
Grn	False	True
Grp	True	True
Grpel1	False	False
Grpel2	False	False
Grpr	False	False
Grsf1	False	True
Grwd1	False	False
Grxcr1	False	False
Grxcr2	True	True
Gsap	False	False
Gsc	False	False
Gsc2	False	False
Gsdma	True	True
Gsdma2	True	True
Gsdma3	True	True
Gsdmc	False	True
Gsdmc2	True	False
Gsdmc3	True	False
Gsdmc4	False	False
Gsdmd	False	False
Gsdme	False	False
Gsg1	False	True
Gsg1l	False	False
Gsk3a	False	False
Gsk3b	False	False
Gskip	False	False
Gsn	False	True
Gspt1	False	False
Gspt2	False	True
Gsr	False	False
Gss	False	False
Gsta1	False	False
Gsta2	False	False
Gsta3	False	False
Gsta4	False	False
Gsta5	False	False
Gstcd	False	False
Gstk1	False	True
Gstm1	True	True
Gstm2	False	False
Gstm3	False	True
Gstm4	False	True
Gstm5	True	False
Gstm6	False	True
Gstm7	False	True
Gsto1	False	False
Gsto2	False	False
Gstp1	True	False
Gstp2	True	False
Gstt1	False	False
Gstt2	False	False
Gstt3	False	True
Gstt4	False	False
Gstz1	False	False
Gsx1	True	True
Gsx2	False	False
Gtdc1	False	False
Gtf2a1	False	False
Gtf2a1l	False	False
Gtf2a2	False	False
Gtf2b	True	True
Gtf2e1	False	False
Gtf2e2	False	False
Gtf2f1	False	False
Gtf2f2	False	False
Gtf2h1	False	True
Gtf2h2	False	True
Gtf2h3	False	False
Gtf2h4	False	False
Gtf2h5	False	False
Gtf2i	False	False
Gtf2ird1	False	True
Gtf2ird2	False	True
Gtf3a	False	True
Gtf3c1	False	False
Gtf3c2	False	False
Gtf3c3	False	False
Gtf3c4	False	False
Gtf3c5	False	False
Gtf3c6	False	True
Gtpbp1	False	False
Gtpbp10	False	True
Gtpbp2	False	True
Gtpbp3	False	True
Gtpbp4	False	False
Gtpbp6	False	True
Gtpbp8	False	False
Gtse1	False	False
Gtsf1	False	False
Gtsf1l	False	False
Guca1a	False	False
Guca1b	False	False
Guca2a	True	False
Guca2b	True	False
Gucy1a1	False	False
Gucy1a2	False	False
Gucy1b1	False	False
Gucy1b2	False	False
Gucy2c	False	False
Gucy2d	False	False
Gucy2e	False	True
Gucy2f	False	True
Gucy2g	False	False
Guf1	False	False
Guk1	False	False
Gulo	False	True
Gulp1	False	True
Gusb	False	True
Gxylt1	False	False
Gxylt2	False	False
Gyg	False	False
Gykl1	False	True
Gypa	False	True
Gypc	False	False
Gys1	False	True
Gys2	False	True
Gzf1	False	False
Gzma	True	False
Gzmb	True	True
Gzmc	False	False
Gzmd	True	True
Gzme	True	True
Gzmf	False	True
Gzmg	True	True
Gzmk	False	True
Gzmm	False	False
Gzmn	False	False
H13	False	False
H1f0	False	False
H1f1	False	False
H1f10	False	False
H1f2	False	False
H1f3	False	False
H1f4	False	False
H1f5	False	False
H1f6	False	False
H1f7	False	False
H1f8	False	False
H1f9	False	False
H2-Aa	False	False
H2ab1	False	False
H2-Ab1	False	False
H2ab2	False	False
H2ab3	False	False
H2ac10	False	False
H2ac12	False	False
H2ac13	False	False
H2ac15	False	False
H2ac18	False	False
H2ac19	False	False
H2ac20	False	False
H2ac21	False	False
H2ac22	False	False
H2ac4	False	False
H2ac6	False	False
H2ac7	False	False
H2aj	False	False
H2al1a	False	False
H2al1c	False	False
H2al1d	False	False
H2al1f	False	False
H2al1g	False	False
H2al1h	False	False
H2al1i	False	False
H2al2a	False	False
H2ap	False	False
H2aw	False	False
H2ax	False	False
H2az1	False	False
H2az2	False	False
H2bc1	False	False
H2bc12	False	False
H2bc13	False	False
H2bc14	False	False
H2bc18	False	False
H2bc21	False	False
H2bc22	False	False
H2bc23	False	False
H2bc3	False	False
H2bc8	False	False
H2bc9	False	False
H2bl1	False	False
H2bu2	False	False
H2bw2	False	False
H2-D1	False	False
H2-DMa	False	True
H2-DMb1	False	False
H2-DMb2	True	False
H2-Eb1	False	False
H2-Eb2	False	False
H2-K1	True	True
H2-Ke6	False	True
H2-L	False	False
H2-M1	True	True
H2-M10.1	False	False
H2-M10.2	False	False
H2-M10.3	False	False
H2-M10.4	False	False
H2-M10.5	False	False
H2-M10.6	False	False
H2-M2	True	True
H2-M3	False	False
H2-M5	True	False
H2-M9	True	True
H2-Oa	False	False
H2-Ob	False	False
H2-Q1	True	True
H2-Q10	False	False
H2-Q2	False	True
H2-Q4	False	False
H2-Q6	False	True
H2-Q7	False	False
H2-Q8	False	False
H2-T22	False	False
H2-T23	False	False
H2-T3	False	True
H3c1	False	False
H3c8	False	False
H3f3a	False	True
H3f3b	True	False
H4c17	False	False
H4f16	False	False
H60b	False	False
H60c	False	False
H6pd	False	False
Haao	False	False
Habp2	False	False
Habp4	False	False
Hacd1	False	False
Hacd2	False	False
Hacd3	False	False
Hacd4	False	False
Hace1	False	False
Hacl1	True	True
Hadh	False	False
Hadha	False	True
Hadhb	False	True
Hagh	False	False
Haghl	False	True
Hal	True	False
Hamp	True	True
Hamp2	True	True
Hand1	True	False
Hand2	True	False
Hao1	True	False
Hao2	False	False
Hap1	True	False
Hapln1	False	True
Hapln2	False	False
Hapln3	False	False
Hapln4	False	False
Harbi1	False	False
Hars	False	False
Hars2	False	False
Has1	True	True
Has2	True	False
Has3	False	True
Haspin	False	False
Hat1	False	False
Haus1	False	False
Haus2	False	True
Haus3	False	False
Haus4	False	False
Haus5	False	False
Haus6	False	False
Haus7	False	False
Haus8	True	False
Havcr1	False	False
Havcr2	False	True
Hax1	False	False
Hba-a1	False	False
Hba-x	False	False
Hbb-b1	False	False
Hbb-b2	False	False
Hbb-bh1	True	False
Hbb-bh2	False	False
Hbb-bt	False	False
Hbb-y	True	False
Hbegf	False	False
Hbp1	False	False
Hbs1l	False	False
Hc	True	False
Hcar1	False	False
Hcar2	False	False
Hccs	False	False
Hcfc1	False	False
Hcfc1r1	False	False
Hcfc2	False	True
Hck	False	True
Hcls1	False	False
Hcn1	False	True
Hcn2	False	False
Hcn3	False	True
Hcn4	False	False
Hcrt	True	False
Hcrtr1	False	True
Hcrtr2	False	True
Hcst	False	False
Hdac1	False	True
Hdac10	False	True
Hdac11	False	False
Hdac2	False	False
Hdac3	False	False
Hdac4	False	False
Hdac5	False	False
Hdac6	False	True
Hdac7	False	False
Hdac8	False	False
Hdac9	False	False
Hdc	True	False
Hddc2	False	False
Hddc3	False	True
Hdgf	False	True
Hdgfl2	False	False
Hdgfl3	False	False
Hdhd2	False	False
Hdhd3	False	False
Hdlbp	True	False
Hdx	False	True
Heatr1	False	False
Heatr5b	False	True
Hebp1	False	False
Hebp2	False	True
Heca	False	False
Hectd1	False	False
Hectd2	False	True
Hectd3	False	False
Hectd4	False	False
Hecw1	False	False
Hecw2	False	True
Heg1	False	True
Helb	False	False
Hells	False	False
Helq	False	False
Helt	False	False
Helz	False	False
Helz2	False	False
Hemgn	False	True
Hemk1	False	False
Henmt1	False	False
Hepacam	True	False
Hepacam2	False	False
Heph	True	False
Hephl1	True	True
Herc2	False	False
Herc4	False	True
Herc6	False	True
Herpud1	True	False
Herpud2	False	True
Hes1	True	True
Hes2	False	True
Hes3	False	True
Hes5	True	False
Hes6	True	False
Hes7	False	False
Hesx1	False	False
Hexa	False	True
Hexb	False	False
Hexdc	False	True
Hexim1	True	True
Hexim2	False	True
Hey1	False	True
Hey2	False	False
Heyl	False	False
Hfe	False	False
Hfm1	False	False
Hgd	True	True
Hgf	False	True
Hgfac	False	False
Hgs	False	False
Hgsnat	False	True
Hhat	False	False
Hhatl	False	True
Hhex	True	True
Hhip	False	False
Hhipl1	False	False
Hhipl2	False	False
Hhla1	False	False
Hibadh	False	False
Hibch	False	False
Hic1	True	False
Hic2	False	True
Hid1	False	False
Hif1a	False	True
Hif1an	False	False
Hif3a	False	False
Higd1a	False	False
Higd1b	False	True
Higd1c	False	True
Higd2a	False	False
Hikeshi	False	False
Hilpda	False	False
Hinfp	False	False
Hint1	False	True
Hint2	False	False
Hint3	False	True
Hip1	False	False
Hip1r	False	True
Hipk1	False	False
Hipk2	False	False
Hipk3	False	True
Hipk4	False	True
Hira	False	False
Hirip3	False	True
Hivep1	False	False
Hivep2	False	True
Hivep3	False	True
Hjurp	False	False
Hjv	False	False
Hk1	False	True
Hk2	False	True
Hk3	False	True
Hkdc1	True	False
Hlcs	False	False
Hlf	False	True
Hltf	False	True
Hlx	False	False
Hmbox1	False	False
Hmbs	False	True
Hmces	False	False
Hmcn1	False	True
Hmcn2	False	False
Hmg20a	False	False
Hmg20b	False	False
Hmga1	True	False
Hmga1b	False	False
Hmga2	False	True
Hmgb1	False	False
Hmgb2	False	False
Hmgb3	False	True
Hmgb4	False	True
Hmgcl	False	False
Hmgcll1	False	True
Hmgcr	False	False
Hmgcs1	False	False
Hmgcs2	True	True
Hmgn1	False	True
Hmgn2	True	False
Hmgn2-ps	False	False
Hmgn3	False	False
Hmgn5	False	True
Hmgxb4	False	False
Hmmr	False	False
Hmox1	True	False
Hmox2	False	False
Hmx1	False	False
Hmx2	False	False
Hmx3	False	False
Hnf1a	True	True
Hnf1b	False	False
Hnf4a	False	False
Hnf4g	False	True
Hnmt	False	True
Hnrnpa0	False	False
Hnrnpa1	False	False
Hnrnpa2b1	True	True
Hnrnpa3	False	False
Hnrnpab	True	False
Hnrnpc	False	False
Hnrnpd	False	False
Hnrnpdl	False	False
Hnrnpf	False	False
Hnrnph1	False	True
Hnrnph2	False	False
Hnrnph3	False	True
Hnrnpk	False	False
Hnrnpl	False	False
Hnrnpll	False	False
Hnrnpm	False	True
Hnrnpr	False	False
Hnrnpu	False	False
Hnrnpul1	False	False
Hnrnpul2	False	True
Hoatz	False	False
Hoga1	False	False
Homer1	False	False
Homer2	False	True
Homer3	False	False
Homez	False	False
Hook1	False	False
Hook2	False	False
Hook3	False	False
Hopx	True	False
Hormad1	False	True
Hormad2	False	False
Hoxa1	False	False
Hoxa10	True	False
Hoxa11	False	False
Hoxa13	True	False
Hoxa2	False	False
Hoxa3	False	False
Hoxa4	False	False
Hoxa5	False	True
Hoxa6	False	True
Hoxa7	False	False
Hoxa9	False	False
Hoxb1	False	False
Hoxb13	False	True
Hoxb2	False	False
Hoxb3	True	False
Hoxb4	False	False
Hoxb5	False	False
Hoxb6	True	False
Hoxb7	False	False
Hoxb8	False	False
Hoxb9	False	True
Hoxc10	True	False
Hoxc11	False	False
Hoxc12	False	False
Hoxc13	False	False
Hoxc4	False	False
Hoxc5	False	False
Hoxc6	False	False
Hoxc8	False	False
Hoxc9	False	False
Hoxd1	True	False
Hoxd10	False	False
Hoxd11	False	False
Hoxd12	False	False
Hoxd13	True	False
Hoxd3	False	False
Hoxd4	True	True
Hoxd8	False	False
Hoxd9	False	False
Hp	True	False
Hp1bp3	False	True
Hpca	False	False
Hpcal1	False	False
Hpcal4	False	True
Hpd	False	False
Hpdl	False	True
Hpf1	False	False
Hpgd	True	False
Hpgds	False	True
Hpn	False	False
Hprt	False	True
Hps1	False	False
Hps3	False	False
Hps4	False	True
Hps5	False	False
Hps6	False	True
Hpse	False	False
Hpse2	True	False
Hpx	True	False
Hr	False	False
Hras	False	False
Hrc	False	True
Hrct1	False	False
Hrg	True	False
Hrh1	False	False
Hrh2	False	True
Hrh3	False	False
Hrh4	False	True
Hrk	False	True
Hrnr	True	True
Hrob	False	False
Hs1bp3	False	False
Hs2st1	False	True
Hs3st1	False	True
Hs3st2	False	False
Hs3st3a1	False	True
Hs3st3b1	False	False
Hs3st5	False	True
Hs3st6	False	True
Hs6st1	False	True
Hs6st2	False	True
Hs6st3	False	False
Hsbp1	False	False
Hsbp1l1	False	False
Hscb	False	False
Hsd11b1	False	True
Hsd11b2	False	False
Hsd17b1	False	False
Hsd17b10	False	False
Hsd17b11	False	False
Hsd17b12	False	True
Hsd17b13	False	False
Hsd17b14	False	True
Hsd17b2	True	False
Hsd17b3	False	True
Hsd17b4	False	False
Hsd17b6	False	False
Hsd17b7	False	True
Hsd3b1	True	False
Hsd3b2	True	False
Hsd3b3	False	True
Hsd3b4	True	False
Hsd3b5	False	False
Hsd3b6	True	False
Hsd3b7	False	True
Hsd3b8	False	False
Hsd3b9	False	False
Hsdl1	False	False
Hsdl2	False	True
Hsf1	False	False
Hsf2	False	False
Hsf2bp	False	True
Hsf3	False	False
Hsf4	False	False
Hsf5	False	False
Hsfy2	False	True
Hsh2d	False	True
Hsp90aa1	True	False
Hsp90ab1	True	False
Hsp90b1	False	False
Hspa12a	False	False
Hspa12b	False	False
Hspa13	False	False
Hspa14	False	False
Hspa1a	True	True
Hspa1b	True	True
Hspa1l	False	True
Hspa2	False	False
Hspa4	False	False
Hspa4l	False	True
Hspa5	True	False
Hspa8	True	False
Hspa9	False	False
Hspb1	True	True
Hspb11	False	False
Hspb2	False	False
Hspb3	False	True
Hspb6	True	True
Hspb7	False	True
Hspb8	True	False
Hspb9	False	True
Hspbap1	False	True
Hspbp1	False	False
Hspd1	False	False
Hspe1	False	False
Hspe1-rs1	False	False
Hspg2	False	False
Hsph1	False	False
Htatip2	False	False
Htatsf1	False	False
Htr1a	False	True
Htr1b	False	False
Htr1d	False	False
Htr1f	False	False
Htr2a	False	False
Htr2b	False	True
Htr2c	False	False
Htr3a	False	False
Htr3b	False	True
Htr4	False	True
Htr5a	False	False
Htr5b	False	False
Htr6	False	False
Htr7	False	False
Htra1	False	False
Htra2	False	False
Htra3	False	False
Htra4	True	True
Htt	False	False
Hunk	False	False
Hus1	False	False
Hus1b	False	False
Huwe1	False	False
Hvcn1	False	False
Hyal1	False	True
Hyal2	True	False
Hyal3	False	False
Hyal4	False	False
Hyal5	False	False
Hyal6	False	False
Hydin	False	False
Hykk	False	False
Hyls1	False	False
Hyou1	False	False
Hypk	False	False
I830077J02Rik	False	True
Iah1	False	False
Iapp	True	False
Iars	False	True
Iars2	False	False
Iba57	False	False
Ibsp	True	False
Ibtk	False	True
Ica1	False	True
Ica1l	False	False
Icam1	True	True
Icam2	False	False
Icam4	False	False
Icam5	False	True
Ice1	False	False
Ice2	False	False
Icmt	False	False
Icos	False	True
Icosl	False	False
Id1	True	True
Id2	True	True
Id3	True	True
Id4	False	False
Ide	False	False
Idh1	False	True
Idh2	False	False
Idh3a	False	False
Idh3b	False	False
Idh3g	False	True
Idi1	False	False
Idi2	True	True
Idnk	False	False
Ido1	True	False
Ido2	False	False
Ids	False	True
Idua	False	False
Ier2	True	False
Ier3	True	True
Ier3ip1	False	False
Ier5	True	True
Iffo1	False	True
Iffo2	False	False
Ifi203	False	False
Ifi204	False	True
Ifi205	False	True
Ifi206	False	False
Ifi207	False	False
Ifi208	False	False
Ifi209	False	False
Ifi211	False	False
Ifi214	False	False
Ifi27	False	False
Ifi27l2a	True	False
Ifi27l2b	False	True
Ifi30	False	False
Ifi35	False	True
Ifi44	False	True
Ifi44l	False	False
Ifih1	False	True
Ifit1	True	False
Ifit1bl1	False	False
Ifit2	False	False
Ifit3	True	False
Ifit3b	False	False
Ifitm1	True	False
Ifitm10	False	False
Ifitm2	False	False
Ifitm3	False	True
Ifitm5	True	False
Ifitm7	False	True
Ifna1	False	False
Ifna11	False	False
Ifna12	False	False
Ifna13	False	False
Ifna2	False	False
Ifna4	False	False
Ifna6	False	False
Ifna9	False	False
Ifnar1	False	False
Ifnar2	False	False
Ifnb1	False	False
Ifne	False	True
Ifng	True	False
Ifngr1	False	False
Ifngr2	False	False
Ifnk	True	True
Ifnl2	False	False
Ifnl3	False	False
Ifnlr1	False	False
Ifrd1	True	False
Ift122	False	False
Ift140	False	False
Ift172	False	False
Ift20	False	False
Ift22	False	False
Ift27	False	False
Ift43	False	False
Ift46	False	False
Ift52	False	True
Ift57	False	False
Ift74	False	False
Ift80	False	False
Ift81	False	False
Ift88	False	False
Iftap	False	False
Igbp1	False	False
Igbp1b	True	False
Igdcc3	False	False
Igdcc4	False	True
Igf1	True	False
Igf1r	False	True
Igf2	False	False
Igf2bp1	True	False
Igf2bp2	False	True
Igf2bp3	False	True
Igf2r	False	True
Igfals	False	False
Igfbp1	True	False
Igfbp2	True	False
Igfbp3	True	True
Igfbp4	True	False
Igfbp5	True	True
Igfbp6	False	False
Igfbp7	False	True
Igfbpl1	False	True
Igfl3	False	False
Igflr1	False	False
Igfn1	False	False
Ighd	False	False
Ighg	False	False
Ighg1	False	False
Ighg2a	False	False
Ighg2b	False	False
Ighg3	False	False
Ighm	False	False
Ighmbp2	False	True
Ighv1-61	False	False
Ighv1-62-3	False	False
Ighv1-72	False	False
Igkc	False	False
Igkv11-125	False	False
Igkv12-41	False	False
Igkv12-44	False	False
Igkv2-112	False	False
Igkv3-10	False	False
Igkv4-55	False	False
Igkv5-48	False	False
Igkv7-33	False	False
Igkv9-129	False	False
Igll1	False	False
Iglon5	False	True
Iglv2	False	False
Igsf1	False	True
Igsf10	False	False
Igsf11	False	False
Igsf21	False	True
Igsf3	False	False
Igsf5	False	True
Igsf6	False	True
Igsf8	False	False
Igsf9	True	False
Igsf9b	False	True
Igtp	False	False
Ihh	False	True
Iho1	False	False
Iigp1	True	False
Ik	False	False
Ikbip	False	True
Ikbkb	False	False
Ikbke	False	False
Ikbkg	False	True
Ikzf1	False	True
Ikzf2	False	False
Ikzf3	True	False
Ikzf4	False	True
Ikzf5	False	False
Il10	True	False
Il10ra	False	True
Il10rb	False	False
Il11	True	True
Il11ra1	False	True
Il11ra2	False	False
Il12a	False	True
Il12b	True	True
Il12rb1	False	True
Il12rb2	False	False
Il13	False	False
Il13ra1	False	True
Il13ra2	True	False
Il15	False	False
Il15ra	False	True
Il16	False	False
Il17a	True	True
Il17b	True	True
Il17c	False	False
Il17d	False	True
Il17f	True	True
Il17ra	False	True
Il17rb	True	False
Il17rc	False	True
Il17rd	False	False
Il17re	False	False
Il18	False	True
Il18bp	False	True
Il18r1	False	False
Il18rap	False	False
Il19	False	False
Il1a	True	False
Il1b	True	False
Il1f10	False	False
Il1r1	True	True
Il1r2	True	True
Il1rap	False	False
Il1rapl1	False	False
Il1rapl2	False	False
Il1rl1	False	False
Il1rl2	False	True
Il1rn	False	False
Il2	False	False
Il20	True	True
Il20ra	False	False
Il21	True	False
Il21r	False	False
Il22	False	False
Il22b	False	False
Il22ra1	False	True
Il22ra2	False	True
Il23a	True	False
Il23r	False	False
Il24	False	False
Il25	False	False
Il27	True	True
Il27ra	False	False
Il2ra	True	False
Il2rb	False	True
Il2rg	False	True
Il3	True	False
Il31	False	False
Il31ra	False	True
Il33	True	False
Il34	False	False
Il36a	False	False
Il36b	False	False
Il36g	False	False
Il36rn	False	False
Il3ra	False	False
Il4	True	False
Il4i1	True	False
Il4i1b	False	False
Il4ra	True	False
Il5	True	False
Il5ra	False	False
Il6	True	True
Il6ra	False	True
Il6st	False	False
Il7	False	False
Il7r	False	False
Il9	True	False
Il9r	False	False
Ildr1	False	False
Ildr2	False	True
Ilf2	False	True
Ilf3	False	False
Ilk	False	False
Ilkap	False	False
Ilrun	False	False
Ilvbl	False	True
Immp1l	False	False
Immp2l	False	False
Immt	False	False
Imp3	False	False
Imp4	False	False
Impa1	False	False
Impa2	False	False
Impact	False	False
Impdh1	False	False
Impdh2	True	False
Impg1	False	False
Impg2	False	True
Ina	True	True
Inava	False	False
Inca1	False	False
Incenp	False	False
Inf2	False	True
Ing1	True	False
Ing2	False	False
Ing3	False	False
Ing4	False	False
Ing5	False	False
Inha	False	False
Inhba	True	False
Inhbb	False	False
Inhbc	False	True
Inhbe	False	True
Inhca	False	False
Inip	False	False
Inka1	False	False
Inka2	False	False
Inmt	True	True
Ino80	False	False
Ino80b	False	True
Ino80c	False	False
Ino80d	False	False
Ino80e	False	False
Inpp1	False	False
Inpp4a	False	False
Inpp4b	False	False
Inpp5a	False	False
Inpp5b	False	False
Inpp5d	False	True
Inpp5e	False	False
Inpp5f	False	False
Inpp5j	False	False
Inpp5k	False	False
Inppl1	False	False
Ins1	True	False
Ins2	True	True
Insc	False	False
Insig1	True	False
Insig2	True	False
Insl3	False	False
Insl5	False	False
Insl6	False	False
Insm1	True	False
Insm2	False	False
Insr	False	False
Insrr	False	False
Insyn1	False	False
Insyn2a	False	False
Ints1	False	True
Ints10	False	False
Ints11	False	False
Ints12	False	False
Ints13	False	False
Ints14	False	False
Ints2	False	False
Ints3	False	False
Ints4	False	True
Ints5	False	False
Ints6	False	False
Ints7	False	False
Ints8	False	False
Ints9	False	True
Intu	False	False
Invs	False	True
Ip6k1	False	False
Ip6k2	False	True
Ip6k3	False	True
Ipcef1	False	False
Ipmk	False	True
Ipo11	False	False
Ipo13	False	True
Ipo4	False	True
Ipo5	False	True
Ipo7	False	False
Ipo8	False	False
Ipo9	False	False
Ipp	False	True
Ippk	False	False
Iqca	False	True
Iqca1l	False	False
Iqcb1	False	False
Iqcd	False	False
Iqce	False	True
Iqcf1	False	True
Iqcg	False	False
Iqcn	False	False
Iqgap1	False	False
Iqgap2	False	True
Iqgap3	False	False
Iqschfp	False	False
Iqsec1	False	True
Iqsec2	False	False
Iqsec3	False	True
Iqub	False	True
Irag1	False	False
Irag2	False	False
Irak1	False	True
Irak1bp1	False	True
Irak2	False	True
Irak3	False	False
Irak4	False	False
Ireb2	False	False
Irf1	False	True
Irf2	False	False
Irf2bp1	False	True
Irf2bp2	False	False
Irf2bpl	False	False
Irf3	False	True
Irf4	True	False
Irf5	False	False
Irf6	False	False
Irf7	True	False
Irf8	True	False
Irf9	True	False
Irgc1	False	False
Irgm1	False	False
Irgm2	False	False
Irgq	False	False
Irs1	False	False
Irs2	False	False
Irs3	False	True
Irs4	True	False
Irx1	False	False
Irx2	False	True
Irx3	False	False
Irx4	False	False
Irx5	False	False
Irx6	False	True
Isca1	False	False
Isca2	False	False
Iscu	False	False
Isg15	True	False
Isg20	False	False
Isg20l2	False	False
Isl1	False	False
Isl2	False	False
Islr	False	False
Islr2	False	False
Ism1	False	False
Isoc1	False	False
Isoc2a	False	False
Isoc2b	False	False
Ist1	False	False
Isx	False	True
Isy1	False	False
Isyna1	False	False
Itch	False	False
Itfg1	False	True
Itfg2	False	False
Itga1	False	True
Itga10	False	False
Itga11	False	True
Itga2	False	True
Itga2b	False	True
Itga3	True	False
Itga4	False	False
Itga5	False	False
Itga6	True	False
Itga7	False	False
Itga8	False	False
Itga9	False	True
Itgad	False	False
Itgae	False	False
Itgal	False	True
Itgam	False	True
Itgav	False	True
Itgax	False	False
Itgb1	False	False
Itgb1bp1	False	False
Itgb1bp2	False	True
Itgb2	False	False
Itgb2l	False	True
Itgb3	False	False
Itgb3bp	False	False
Itgb4	False	False
Itgb5	False	False
Itgb6	True	True
Itgb7	False	False
Itgb8	False	False
Itgbl1	False	False
Itih1	False	False
Itih2	False	False
Itih3	True	False
Itih4	True	False
Itih5	False	False
Itk	False	True
Itln1	True	False
Itlnb	False	False
Itm2a	False	True
Itm2b	False	True
Itm2c	False	True
Itpa	False	False
Itpk1	False	False
Itpka	False	True
Itpkb	False	False
Itpkc	False	False
Itpr1	True	False
Itpr2	False	False
Itpr3	False	True
Itprid1	False	False
Itprid2	False	False
Itprip	True	False
Itpripl1	False	False
Itpripl2	False	False
Itsn1	False	False
Itsn2	False	False
Ivd	False	True
Ivl	True	False
Ivns1abp	False	False
Iws1	False	False
Iyd	True	True
Izumo1	False	False
Izumo1r	False	False
Izumo2	False	False
Izumo3	False	True
Izumo4	False	False
Jade1	False	False
Jade2	False	False
Jade3	False	False
Jag1	False	False
Jag2	False	False
Jagn1	False	False
Jak1	True	False
Jak2	False	False
Jak3	False	False
Jakmip1	False	False
Jakmip2	False	False
Jakmip3	False	True
Jam2	False	False
Jam3	False	True
Jaml	False	False
Jarid2	False	True
Jazf1	False	False
Jcad	False	False
Jchain	False	False
Jdp2	False	False
Jhy	False	False
Jkamp	False	False
Jkampl	False	False
Jmjd1c	False	True
Jmjd4	False	False
Jmjd6	True	False
Jmjd7	False	False
Jmjd8	False	True
Jmy	False	True
Josd1	False	False
Josd2	True	False
Jph1	False	False
Jph2	False	False
Jph3	False	True
Jph4	False	True
Jpt1	False	False
Jpt2	False	False
Jrk	False	False
Jrkl	False	False
Jsrp1	False	False
Jtb	False	True
Jun	False	True
Junb	True	False
Jund	False	False
Jup	False	False
Kalrn	False	False
Kank1	False	True
Kank2	False	False
Kank4	False	True
Kansl1	False	False
Kansl1l	False	False
Kansl2	False	False
Kansl3	False	False
Kap	True	False
Kars	False	True
Kash5	False	False
Kat14	False	False
Kat2a	False	False
Kat2b	False	False
Kat5	False	True
Kat6a	False	False
Kat6b	False	False
Kat7	False	False
Kat8	False	False
Katna1	False	False
Katnal1	False	True
Katnal2	False	False
Katnb1	False	False
Katnbl1	False	False
Katnip	False	False
Kazald1	False	False
Kazn	False	False
Kbtbd13	False	False
Kbtbd6	False	False
Kbtbd7	False	False
Kbtbd8	False	False
Kcmf1	False	False
Kcna1	False	True
Kcna10	False	False
Kcna2	False	True
Kcna3	False	True
Kcna4	False	False
Kcna5	False	False
Kcna6	False	False
Kcna7	False	False
Kcnab1	False	False
Kcnab2	False	False
Kcnab3	False	False
Kcnb1	False	True
Kcnb2	False	False
Kcnc1	False	False
Kcnc2	False	False
Kcnc3	False	True
Kcnc4	False	False
Kcnd1	False	False
Kcnd2	False	False
Kcnd3	False	True
Kcne1	False	True
Kcne1l	False	False
Kcne2	False	False
Kcne3	False	False
Kcne4	True	True
Kcnf1	False	False
Kcng1	False	False
Kcng3	False	False
Kcng4	False	True
Kcnh1	False	True
Kcnh2	False	False
Kcnh3	False	False
Kcnh5	False	True
Kcnh6	False	False
Kcnh7	False	True
Kcnh8	False	False
Kcnip1	False	True
Kcnip2	False	False
Kcnip3	False	True
Kcnip4	False	False
Kcnj1	True	False
Kcnj10	False	True
Kcnj11	False	False
Kcnj12	False	False
Kcnj13	True	True
Kcnj14	False	True
Kcnj15	False	True
Kcnj16	False	True
Kcnj2	False	True
Kcnj3	False	False
Kcnj4	False	False
Kcnj5	False	False
Kcnj6	False	False
Kcnj8	False	True
Kcnj9	False	False
Kcnk1	False	True
Kcnk10	False	True
Kcnk13	False	True
Kcnk18	False	False
Kcnk2	False	True
Kcnk3	False	True
Kcnk4	False	True
Kcnk5	True	False
Kcnk6	False	False
Kcnk7	False	True
Kcnk9	False	False
Kcnma1	False	False
Kcnmb1	False	True
Kcnmb2	False	True
Kcnmb3	False	False
Kcnmb4	False	False
Kcnn1	False	True
Kcnn2	False	False
Kcnn3	True	False
Kcnn4	False	True
Kcnq1	False	True
Kcnq2	False	True
Kcnq3	False	False
Kcnq4	False	False
Kcnq5	False	False
Kcnrg	True	False
Kcns1	False	True
Kcns2	False	False
Kcns3	False	False
Kcnt1	False	False
Kcnt2	False	True
Kcnu1	False	True
Kcnv1	False	False
Kcnv2	False	False
Kcp	False	True
Kctd1	False	False
Kctd10	False	True
Kctd11	False	True
Kctd12	False	False
Kctd12b	False	False
Kctd13	False	False
Kctd15	False	True
Kctd16	False	True
Kctd17	False	False
Kctd19	False	False
Kctd2	False	True
Kctd20	False	False
Kctd21	False	False
Kctd3	False	True
Kctd4	False	True
Kctd5	True	False
Kctd6	False	False
Kctd7	False	False
Kctd8	False	True
Kctd9	False	False
Kdelr1	False	False
Kdelr2	False	True
Kdelr3	False	True
Kdf1	False	False
Kdm1a	False	False
Kdm1b	False	True
Kdm2a	False	False
Kdm2b	False	False
Kdm3a	False	True
Kdm3b	False	False
Kdm4a	False	False
Kdm4b	False	False
Kdm4c	False	False
Kdm4d	False	False
Kdm5a	False	False
