File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF934IDX	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR883UGG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF445-human/				ZNF445-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF120ZJY/, /files/ENCFF174OKT/, /files/ENCFF068TTP/	3441068	ENCODE Processing Pipeline	27395d04f476795f298cdcc9698ec2a2		https://www.encodeproject.org/files/ENCFF934IDX/@@download/ENCFF934IDX.bed.gz				released	s3://encode-public/2020/07/01/c4786172-91fa-4a22-8f21-bca67cf5bd7c/ENCFF934IDX.bed.gz	moderate library complexity, low read depth, mild to moderate bottlenecking		
ENCFF416TFM	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR883UGG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF445-human/				ZNF445-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF120ZJY/, /files/ENCFF356LFX/, /files/ENCFF174OKT/, /files/ENCFF068TTP/	55990	ENCODE Processing Pipeline	5f67533d4ab8bcf95d67df4df86952aa		https://www.encodeproject.org/files/ENCFF416TFM/@@download/ENCFF416TFM.bed.gz				released	s3://encode-public/2020/07/01/c0c62e06-2145-4bda-b45c-547c6210560e/ENCFF416TFM.bed.gz	moderate library complexity, low read depth, mild to moderate bottlenecking		
ENCFF764DHU	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR883UGG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF445-human/				ZNF445-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF120ZJY/, /files/ENCFF174OKT/, /files/ENCFF068TTP/	3437396	ENCODE Processing Pipeline	768bae2687fd336b81755f7aa1b42a31		https://www.encodeproject.org/files/ENCFF764DHU/@@download/ENCFF764DHU.bed.gz				released	s3://encode-public/2020/07/01/3377e4ea-374e-47e1-a966-19571a5be3aa/ENCFF764DHU.bed.gz	moderate library complexity, low read depth, mild to moderate bottlenecking		
ENCFF006SVQ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR883UGG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF445-human/				ZNF445-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	2	2_1							/files/ENCFF356LFX/, /files/ENCFF174OKT/, /files/ENCFF068TTP/	28364	ENCODE Processing Pipeline	907b99aa775ad155acdc6007dc609301		https://www.encodeproject.org/files/ENCFF006SVQ/@@download/ENCFF006SVQ.bed.gz				released	s3://encode-public/2020/07/01/fafb1147-93e7-451b-b9d3-79a8286d3ed6/ENCFF006SVQ.bed.gz	moderate library complexity, low read depth, mild to moderate bottlenecking		
ENCFF406PZO	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR883UGG	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF445-human/				ZNF445-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF120ZJY/, /files/ENCFF356LFX/, /files/ENCFF174OKT/, /files/ENCFF068TTP/	53578	ENCODE Processing Pipeline	fee39f2a3c56bc41e487c7b1b7fd635c		https://www.encodeproject.org/files/ENCFF406PZO/@@download/ENCFF406PZO.bed.gz				released	s3://encode-public/2020/07/01/01721cc6-c957-4e4c-a49c-150f4fa9fba6/ENCFF406PZO.bed.gz	moderate library complexity, low read depth, mild to moderate bottlenecking		
ENCFF864QQC	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR030TJP	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										DACH1-human	DNA						2018-01-26	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF720AUK/, /files/ENCFF796JTX/, /files/ENCFF521MLQ/, /files/ENCFF804JSK/	7147928	ENCODE Processing Pipeline	26e5c4cbf109522b06f80550d3d302ac		https://www.encodeproject.org/files/ENCFF864QQC/@@download/ENCFF864QQC.bed.gz				released	s3://encode-public/2017/02/23/831ce145-deae-4ad8-98df-ca894a30ea6d/ENCFF864QQC.bed.gz		partially characterized antibody	
ENCFF326QUT	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR030TJP	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										DACH1-human	DNA						2018-01-26	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF419RSJ/, /files/ENCFF512HJR/, /files/ENCFF864QQC/, /files/ENCFF818IZF/	293516	ENCODE Processing Pipeline	a9e8decefa1bc7c9b533808ed9f1f55a		https://www.encodeproject.org/files/ENCFF326QUT/@@download/ENCFF326QUT.bed.gz				released	s3://encode-public/2017/02/23/4401669e-9cfe-4c9e-b7c9-5de87b9d1be5/ENCFF326QUT.bed.gz		partially characterized antibody	
ENCFF870LJV	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR030TJP	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										DACH1-human	DNA						2018-01-26	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF419RSJ/, /files/ENCFF512HJR/, /files/ENCFF864QQC/, /files/ENCFF818IZF/	357631	ENCODE Processing Pipeline	cc4bdc7c6047ac7deb40b54f6df8604d		https://www.encodeproject.org/files/ENCFF870LJV/@@download/ENCFF870LJV.bed.gz				released	s3://encode-public/2017/02/23/ea663406-2a37-404a-a90a-07e910fb7a34/ENCFF870LJV.bed.gz		partially characterized antibody	
ENCFF818IZF	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR030TJP	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										DACH1-human	DNA						2018-01-26	ENCODE			450-650	1	1_1							/files/ENCFF720AUK/, /files/ENCFF521MLQ/, /files/ENCFF796JTX/	6698476	ENCODE Processing Pipeline	52ea7b551cc50d07fc4679b891cade80		https://www.encodeproject.org/files/ENCFF818IZF/@@download/ENCFF818IZF.bed.gz				released	s3://encode-public/2017/02/23/7174e87a-d0ff-4a7c-8434-742d3cc1d219/ENCFF818IZF.bed.gz		partially characterized antibody	
ENCFF512HJR	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR030TJP	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										DACH1-human	DNA						2018-01-26	ENCODE			450-650	2	2_1							/files/ENCFF720AUK/, /files/ENCFF796JTX/, /files/ENCFF804JSK/	6647442	ENCODE Processing Pipeline	41d06797cd96fd2164538caf51a91554		https://www.encodeproject.org/files/ENCFF512HJR/@@download/ENCFF512HJR.bed.gz				released	s3://encode-public/2017/02/23/00c0fe66-f1e5-4ad1-b81e-d041119dda9a/ENCFF512HJR.bed.gz		partially characterized antibody	
ENCFF421BIR	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR235PYI	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF41-human/				ZNF41-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF488HIV/, /files/ENCFF443BMH/, /files/ENCFF174OKT/	3571304	ENCODE Processing Pipeline	f4c600486517b2d7ebce81a6d361f400		https://www.encodeproject.org/files/ENCFF421BIR/@@download/ENCFF421BIR.bed.gz				released	s3://encode-public/2020/07/03/4ba52f4d-4b1c-43a5-bfae-a7e0a26c4df0/ENCFF421BIR.bed.gz	mild to moderate bottlenecking		
ENCFF798NQN	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR235PYI	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF41-human/				ZNF41-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1	1_1							/files/ENCFF356LFX/, /files/ENCFF443BMH/, /files/ENCFF174OKT/	42727	ENCODE Processing Pipeline	6545c495b7119dbbc1915f2f197fd980		https://www.encodeproject.org/files/ENCFF798NQN/@@download/ENCFF798NQN.bed.gz				released	s3://encode-public/2020/07/03/4fcb7e45-1980-4216-a685-7c7b8814a4c3/ENCFF798NQN.bed.gz	mild to moderate bottlenecking		
ENCFF452OUV	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR235PYI	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF41-human/				ZNF41-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1	1_1							/files/ENCFF443BMH/, /files/ENCFF174OKT/	2405567	ENCODE Processing Pipeline	740ca34a2228e02f06594cd4f119df0c		https://www.encodeproject.org/files/ENCFF452OUV/@@download/ENCFF452OUV.bed.gz				released	s3://encode-public/2020/07/03/61677a3e-6e31-4494-975e-4c68996fdba5/ENCFF452OUV.bed.gz	mild to moderate bottlenecking		
ENCFF839FNN	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR235PYI	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF41-human/				ZNF41-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	2	2_1							/files/ENCFF488HIV/, /files/ENCFF174OKT/	2525444	ENCODE Processing Pipeline	3f00a500ba1cefab8255a3489fff1f38		https://www.encodeproject.org/files/ENCFF839FNN/@@download/ENCFF839FNN.bed.gz				released	s3://encode-public/2020/07/03/5abf307d-507f-4483-8111-2bf3f1ea916d/ENCFF839FNN.bed.gz	mild to moderate bottlenecking		
ENCFF629EAD	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR235PYI	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF41-human/				ZNF41-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF488HIV/, /files/ENCFF443BMH/, /files/ENCFF174OKT/	93009	ENCODE Processing Pipeline	dd9c5d589c4bb29fd1895b7f1800949b		https://www.encodeproject.org/files/ENCFF629EAD/@@download/ENCFF629EAD.bed.gz				released	s3://encode-public/2020/07/03/2a449d57-1355-4b01-b88f-f4be2c106461/ENCFF629EAD.bed.gz	mild to moderate bottlenecking		
ENCFF227CVS	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR235PYI	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF41-human/				ZNF41-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	2	2_1							/files/ENCFF356LFX/, /files/ENCFF488HIV/, /files/ENCFF174OKT/	51286	ENCODE Processing Pipeline	1e687ff215c30b1ab43197e339897e36		https://www.encodeproject.org/files/ENCFF227CVS/@@download/ENCFF227CVS.bed.gz				released	s3://encode-public/2020/07/03/c2d6e16a-f631-439b-9db3-764a5aa4eae6/ENCFF227CVS.bed.gz	mild to moderate bottlenecking		
ENCFF566BPY	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR235PYI	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF41-human/				ZNF41-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF488HIV/, /files/ENCFF443BMH/, /files/ENCFF174OKT/	90860	ENCODE Processing Pipeline	8384bf226aa296d1e5ab2dd9caef747f		https://www.encodeproject.org/files/ENCFF566BPY/@@download/ENCFF566BPY.bed.gz				released	s3://encode-public/2020/07/03/31c6c374-c797-4b40-82ac-8059ac9c2d14/ENCFF566BPY.bed.gz	mild to moderate bottlenecking		
ENCFF786RXI	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR235PYI	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF41-human/				ZNF41-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF488HIV/, /files/ENCFF443BMH/, /files/ENCFF174OKT/	3467802	ENCODE Processing Pipeline	948535d0393ebd751db8b2ebde55f705		https://www.encodeproject.org/files/ENCFF786RXI/@@download/ENCFF786RXI.bed.gz				released	s3://encode-public/2020/07/03/27d59e98-4cd9-4b38-a652-81ffb896e16e/ENCFF786RXI.bed.gz	mild to moderate bottlenecking		
ENCFF759QGY	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR810YED	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/TCF15-human/				TCF15-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	2	2_1							/files/ENCFF594LNM/, /files/ENCFF174OKT/	1731662	ENCODE Processing Pipeline	06afe6840f28d8562765502a4408a14a		https://www.encodeproject.org/files/ENCFF759QGY/@@download/ENCFF759QGY.bed.gz				released	s3://encode-public/2020/07/01/cd6cc0b0-3e6c-4c2c-9e9b-ae5be9d62a41/ENCFF759QGY.bed.gz			
ENCFF038EAX	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR810YED	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/TCF15-human/				TCF15-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF594LNM/, /files/ENCFF557GTQ/, /files/ENCFF174OKT/	2511940	ENCODE Processing Pipeline	0464e85e6163cf414af5f75e24fb9938		https://www.encodeproject.org/files/ENCFF038EAX/@@download/ENCFF038EAX.bed.gz				released	s3://encode-public/2020/07/01/d8d5973f-c60d-40c6-a43b-b92faa8692af/ENCFF038EAX.bed.gz			
ENCFF931MOZ	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR810YED	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/TCF15-human/				TCF15-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF594LNM/, /files/ENCFF557GTQ/, /files/ENCFF174OKT/	2626766	ENCODE Processing Pipeline	5622ecd2158ae09b696292ba19c08792		https://www.encodeproject.org/files/ENCFF931MOZ/@@download/ENCFF931MOZ.bed.gz				released	s3://encode-public/2020/07/01/d8720f5b-c6ee-434f-aa59-cb63895e1eb3/ENCFF931MOZ.bed.gz			
ENCFF178TFL	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR810YED	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/TCF15-human/				TCF15-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	2	2_1							/files/ENCFF594LNM/, /files/ENCFF356LFX/, /files/ENCFF174OKT/	21342	ENCODE Processing Pipeline	8a480cc41e1be01cadc8196151b4be92		https://www.encodeproject.org/files/ENCFF178TFL/@@download/ENCFF178TFL.bed.gz				released	s3://encode-public/2020/07/01/1686204e-dcc7-4a78-a81f-0ed4b343ebb7/ENCFF178TFL.bed.gz			
ENCFF030ULV	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR810YED	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/TCF15-human/				TCF15-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF594LNM/, /files/ENCFF356LFX/, /files/ENCFF557GTQ/, /files/ENCFF174OKT/	39254	ENCODE Processing Pipeline	7053cfaf9bac46329925b2fe12e4be74		https://www.encodeproject.org/files/ENCFF030ULV/@@download/ENCFF030ULV.bed.gz				released	s3://encode-public/2020/07/01/e7102df0-66be-4fae-a30e-c4361b96c3ed/ENCFF030ULV.bed.gz			
ENCFF661TGD	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR810YED	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/TCF15-human/				TCF15-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1	1_1							/files/ENCFF356LFX/, /files/ENCFF557GTQ/, /files/ENCFF174OKT/	15390	ENCODE Processing Pipeline	77018a0156b01197a4913bf9fabc6d07		https://www.encodeproject.org/files/ENCFF661TGD/@@download/ENCFF661TGD.bed.gz				released	s3://encode-public/2020/07/01/455d87bd-8be8-49fd-8b84-2b49f6d083cc/ENCFF661TGD.bed.gz			
ENCFF307YDN	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR810YED	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/TCF15-human/				TCF15-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1	1_1							/files/ENCFF557GTQ/, /files/ENCFF174OKT/	1779516	ENCODE Processing Pipeline	dbc344d8a62e76a3d6fa669ff1aa5089		https://www.encodeproject.org/files/ENCFF307YDN/@@download/ENCFF307YDN.bed.gz				released	s3://encode-public/2020/07/01/49636851-3b15-4c76-94c1-40bc4f80c77b/ENCFF307YDN.bed.gz			
ENCFF638JIZ	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR810YED	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/TCF15-human/				TCF15-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF594LNM/, /files/ENCFF356LFX/, /files/ENCFF557GTQ/, /files/ENCFF174OKT/	30633	ENCODE Processing Pipeline	0133ec092e1724fe0696b754155c5519		https://www.encodeproject.org/files/ENCFF638JIZ/@@download/ENCFF638JIZ.bed.gz				released	s3://encode-public/2020/07/01/9abb8d26-2997-4bfe-80a5-13b50477834d/ENCFF638JIZ.bed.gz			
ENCFF471ECO	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR723BZO	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF169-human/				ZNF169-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	2	2_1							/files/ENCFF640ONF/, /files/ENCFF174OKT/	3041721	ENCODE Processing Pipeline	6dbc5d13e0b9bb553a105943d0a828ed		https://www.encodeproject.org/files/ENCFF471ECO/@@download/ENCFF471ECO.bed.gz				released	s3://encode-public/2020/07/03/869271a2-fe69-4aaf-81f4-130297f75de2/ENCFF471ECO.bed.gz	mild to moderate bottlenecking		
ENCFF146OTW	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR723BZO	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF169-human/				ZNF169-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1	1_1							/files/ENCFF174OKT/, /files/ENCFF438SST/	2793547	ENCODE Processing Pipeline	0c1e9294ab165b4a863b786d74c8e20a		https://www.encodeproject.org/files/ENCFF146OTW/@@download/ENCFF146OTW.bed.gz				released	s3://encode-public/2020/07/03/79b5c18d-e245-45f7-998e-b9d61327263e/ENCFF146OTW.bed.gz	mild to moderate bottlenecking		
ENCFF657VQP	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR723BZO	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF169-human/				ZNF169-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF174OKT/, /files/ENCFF356LFX/, /files/ENCFF640ONF/, /files/ENCFF438SST/	138120	ENCODE Processing Pipeline	c6574943a327674ee0872bd7af9447e1		https://www.encodeproject.org/files/ENCFF657VQP/@@download/ENCFF657VQP.bed.gz				released	s3://encode-public/2020/07/03/879a79fb-9c23-4bba-b355-cc79c5003f55/ENCFF657VQP.bed.gz	mild to moderate bottlenecking		
ENCFF033GUR	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR723BZO	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF169-human/				ZNF169-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1	1_1							/files/ENCFF174OKT/, /files/ENCFF356LFX/, /files/ENCFF438SST/	48736	ENCODE Processing Pipeline	7d1feb6112960494f4c8444a973e0b75		https://www.encodeproject.org/files/ENCFF033GUR/@@download/ENCFF033GUR.bed.gz				released	s3://encode-public/2020/07/03/060ec6d5-3038-4510-aee0-96ce6f5c25e6/ENCFF033GUR.bed.gz	mild to moderate bottlenecking		
ENCFF705PIM	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR723BZO	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF169-human/				ZNF169-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	2	2_1							/files/ENCFF356LFX/, /files/ENCFF640ONF/, /files/ENCFF174OKT/	54795	ENCODE Processing Pipeline	6043a5785c310b4db5ec839bb2a22f01		https://www.encodeproject.org/files/ENCFF705PIM/@@download/ENCFF705PIM.bed.gz				released	s3://encode-public/2020/07/03/0c4ca4e4-9d9f-48e1-b63a-fabd1d81aed7/ENCFF705PIM.bed.gz	mild to moderate bottlenecking		
ENCFF905VOI	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR723BZO	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF169-human/				ZNF169-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF174OKT/, /files/ENCFF640ONF/, /files/ENCFF438SST/	4231347	ENCODE Processing Pipeline	195c893cf72275412266b2d53b726f64		https://www.encodeproject.org/files/ENCFF905VOI/@@download/ENCFF905VOI.bed.gz				released	s3://encode-public/2020/07/03/c94fa051-2bbd-4c2c-8990-470f888d73fa/ENCFF905VOI.bed.gz	mild to moderate bottlenecking		
ENCFF851CKC	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR723BZO	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF169-human/				ZNF169-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF174OKT/, /files/ENCFF640ONF/, /files/ENCFF438SST/	4216116	ENCODE Processing Pipeline	d7257691f73e61f590c20643e5f47267		https://www.encodeproject.org/files/ENCFF851CKC/@@download/ENCFF851CKC.bed.gz				released	s3://encode-public/2020/07/03/99c0d338-5863-45dc-ac0a-1d3443c5dbd7/ENCFF851CKC.bed.gz	mild to moderate bottlenecking		
ENCFF214JZF	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR723BZO	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/ZNF169-human/				ZNF169-human	DNA						2020-08-03	ENCODE		sonication (Bioruptor Pico)	250-450	1, 2	1_1, 2_1							/files/ENCFF174OKT/, /files/ENCFF356LFX/, /files/ENCFF640ONF/, /files/ENCFF438SST/	141904	ENCODE Processing Pipeline	8db9126a19b73d3be84e06af58774974		https://www.encodeproject.org/files/ENCFF214JZF/@@download/ENCFF214JZF.bed.gz				released	s3://encode-public/2020/07/03/1c8265fd-bbdd-4019-b537-ec051fce6b2a/ENCFF214JZF.bed.gz	mild to moderate bottlenecking		
ENCFF134SCZ	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR686EYO	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										KHSRP-human	DNA						2017-09-28	ENCODE			450-650	4	4_1							/files/ENCFF227IZS/, /files/ENCFF127JYR/	6676232	ENCODE Processing Pipeline	ee2a6e4df3852da50e12d6a2c7c7d82a		https://www.encodeproject.org/files/ENCFF134SCZ/@@download/ENCFF134SCZ.bed.gz				released	s3://encode-public/2017/03/02/908f5177-0cb2-4837-9c46-8f6c364bd3b7/ENCFF134SCZ.bed.gz			
ENCFF317QKH	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR686EYO	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										KHSRP-human	DNA						2017-09-28	ENCODE			450-650	3, 4	3_1, 4_1							/files/ENCFF014RWM/, /files/ENCFF498HYQ/, /files/ENCFF419RSJ/, /files/ENCFF134SCZ/	96661	ENCODE Processing Pipeline	62eb332980e769925c44dfa8c4f59b8c		https://www.encodeproject.org/files/ENCFF317QKH/@@download/ENCFF317QKH.bed.gz				released	s3://encode-public/2017/03/02/d77d8112-0fc0-4c6c-8674-b97b4ca4ff62/ENCFF317QKH.bed.gz			
ENCFF014RWM	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR686EYO	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										KHSRP-human	DNA						2017-09-28	ENCODE			450-650	3, 4	3_1, 4_1							/files/ENCFF804DKO/, /files/ENCFF227IZS/, /files/ENCFF910IKB/, /files/ENCFF127JYR/	7252688	ENCODE Processing Pipeline	7c2fea3d65acc151a6ee7fccab644ba8		https://www.encodeproject.org/files/ENCFF014RWM/@@download/ENCFF014RWM.bed.gz				released	s3://encode-public/2017/03/02/c4a9fde6-73d2-4210-baec-f5a6f6c6b435/ENCFF014RWM.bed.gz			
